symbol,companyName,sector,industry,marketCapCr,pe,forwardPE,pb,roe,roa,debtToEquity,currentRatio,quickRatio,operatingMargin,profitMargin,dividendYield,trailingEps,forwardEps,pegRatio,quarterlyEarningsGrowth,quarterlyRevenueGrowth,bookValue,currency,lastUpdated
VIYASH,Viyash Scientific Limited,Healthcare,Drug Manufacturers - Specialty & Generic,10767.24,51.61,21.0,3.67,,,0.16,,,12.47,5.91,,4.74,11.65,,360.3,114.4,66.7,INR,2026-09-17 15:00:40
VMART,V-Mart Retail Limited,Consumer Cyclical,Department Stores,6287.65,45.89,30.12,6.6,,,1.01,,,7.04,3.45,13.0,17.22,26.23,,40.5,23.0,119.7,INR,2026-09-17 15:00:44
VMM,Vishal Mega Mart Limited,Consumer Cyclical,Department Stores,47241.61,53.07,37.17,6.34,,,0.27,,,9.64,6.61,,1.9,2.71,,25.6,18.7,15.89,INR,2026-09-17 15:00:46
VOGL,Vedanta Oil and Gas Limited,Basic Materials,Other Industrial Metals & Mining,13594.27,,,,,,,,,8.94,420.83,,-0.22,,,,8.9,-202.94,INR,2026-09-17 15:00:50
VOLTAMP,Voltamp Transformers Limited,Industrials,Electrical Equipment & Parts,10846.56,34.18,26.94,6.59,,,0.03,,,14.11,13.92,0.94,313.64,397.9,,14.7,28.4,1625.69,INR,2026-09-17 15:00:53
VOLTAS,Voltas Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",37624.9,84.48,35.2,5.9,,,0.16,,,5.22,3.0,35.0,13.46,32.31,,52.2,18.7,192.7,INR,2026-09-17 15:00:57
VRLLOG,VRL Logistics Limited,Industrials,Trucking,5041.68,18.85,15.33,4.41,,,1.01,,,14.14,7.94,3.53,15.29,18.8,,60.9,18.1,65.31,INR,2026-09-17 15:01:00
VSSL,Vardhman Special Steels Limited,Basic Materials,Steel,3939.94,26.16,18.27,3.23,,,0.07,,,12.08,7.93,0.9,15.58,22.3,,107.0,12.1,126.18,INR,2026-09-17 15:01:04
VSTIND,VST Industries Limited,Consumer Defensive,Tobacco,3460.56,12.51,10.21,2.4,,,,,,15.01,19.57,5.9,16.31,20.0,,-24.4,-13.9,85.11,INR,2026-09-17 15:01:07
VSTTILLERS,V.S.T. Tillers Tractors Limited,Industrials,Farm & Heavy Construction Machinery,3558.88,33.09,21.54,3.25,,,0.17,,,11.12,8.57,0.62,124.29,190.97,,9.5,11.0,1266.09,INR,2026-09-17 15:01:09
VTL,Vardhman Textiles Limited,Consumer Cyclical,Textile Manufacturing,16232.36,18.84,12.8,1.52,,,0.18,,,12.85,8.32,0.87,29.76,43.8,,49.6,13.3,369.41,INR,2026-09-17 15:01:12
WAAREEENER,Waaree Energies Limited,Technology,Solar,71280.0,19.09,14.98,4.93,,,0.21,,,13.99,12.7,16.0,129.8,165.46,,14.1,79.2,502.2,INR,2026-09-17 15:01:17
WAAREERTL,Waaree Renewable Technologies Limited,Industrials,Engineering & Construction,8460.98,16.64,,12.84,,,0.16,,,18.15,13.91,,48.72,,,34.1,53.2,63.15,INR,2026-09-17 15:01:19
WABAG,VA Tech Wabag Limited,Industrials,Engineering & Construction,12932.63,36.88,22.76,5.02,,,0.09,,,8.78,9.64,24.0,56.12,90.92,,36.9,20.8,412.22,INR,2026-09-17 15:01:21
WAKEFIT,Wakefit Innovations Limited,Consumer Cyclical,"Furnishings, Fixtures & Appliances",4845.34,25.59,36.46,4.25,,,0.24,,,6.93,12.47,,5.71,4.01,,19.2,16.6,34.4,INR,2026-09-17 15:01:25
WEBELSOLAR,Websol Energy System Limited,Technology,Solar,3117.29,10.0,,5.15,,,0.21,,,27.85,26.06,34.0,7.18,,,15.8,70.3,13.93,INR,2026-09-17 15:01:27
WELCORP,Welspun Corp Limited,Basic Materials,Steel,65003.02,28.01,22.71,7.1,,,0.25,,,13.91,13.35,21.0,88.01,108.56,,198.6,14.9,347.08,INR,2026-09-17 15:01:30
WELENT,Welspun Enterprises Limited,Industrials,Engineering & Construction,10568.38,31.73,21.18,3.43,,,0.61,,,18.08,8.62,41.0,24.56,36.8,0.48,-48.7,-8.4,227.22,INR,2026-09-17 15:01:34
